"","x"
"978","DN624733"
"979","CN184662"
"980","DN624733"
"981","CX542719"
"982","CV706284"
"983","CV704517"
"984","CX676566"
"985","CX638086"
"986","DN618435"
"987","CX635209"
"988","CX675920"
"989","CX665617"
"990","CX302058"
"991","CK937548"
"992","CN191705"
"993","DN799468"
"994","DN619057"
"995","CB611198"
"996","CX667220"
"997","CN183222"
"998","CX070975"
"999","CB322165"
"1000","CX053912"
"1001","CB322111"
"1002","CF653396"
"1003","CF419776"
"1004","CF834901"
"1005","CX289165"
"1006","CV713347"
"1007","CK739571"
"1008","CX635832"
"1009","CK934829"
"1010","CN182220"
"1011","CX073454"
"1012","CX666126"
"1013","CF509479"
"1014","CX296236"
"1015","CV704224"
"1016","CF829224"
"1017","CX307002"
"1018","CX046706"
"1019","CF834348"
"1020","CX051647"
"1021","BQ624437"
"1022","CK935273"
"1023","CX635289"
"1024","CK936564"
"1025","CF509995"
"1026","CD574359"
"1027","CX078551"
"1028","CX307961"
"1029","CN190049"
"1030","CD575594"
"1031","CX643902"
"1032","CK939117"
"1033","CX669841"
"1034","CF419662"
"1035","CX668073"
"1036","CF830617"
"1037","CV886822"
"1038",""
"1039","CX665617"
"1040","CX542659"
"1041","CX048042"
"1042","CB290519"
"1043","CD576627"
"1044","DN958026"
"1045","CK934767"
"1046","CX665667"
"1047","CX663555"
"1048","CX673713"
"1049","CV711680"
"1050","CV885206"
"1051","CX045046"
"1052","CV707520"
"1053","CX074112"
"1054","CX671886"
"1055","CX287169"
"1056","CF836038"
"1057","CX288209"
"1058","CF417542"
"1059","BQ622936"
"1060","CF831967"
"1061","CK933844"
"1062","CV885632"
"1063","CV719411"
"1064","CX664003"
"1065","CV705384"
"1066","CK939008"
"1067","CV712088"
"1068","CK936270"
"1069","CK935415"
"1070","CK935537"
"1071","CV704652"
"1072","CN183010"
"1073","CX297728"
"1074","CK936056"
"1075","CF837624"
"1076","CX543464"
"1077","CF832541"
"1078","CV708225"
"1079","CV718957"
"1080","CN181914"
"1081","CX674433"
"1082","CX673149"
"1083","CB291206"
"1084","BQ623862"
"1085","CX635287"
"1086","DN617926"
"1087","CX302123"
"1088","CX637334"
"1089","CF510260"
"1090","BQ624897"
"1091","CB293660"
"1092","CX640361"
"1093","CX046512"
"1094","CF829038"
"1095","CV709796"
"1096","CN191267"
"1097","CB304858"
"1098",""
"1099","CX542800"
"1100","CX073620"
"1101","CB293844"
"1102","CF509479"
"1103","CX051466"
"1104",""
"1105","BQ624601"
"1106","CV709410"
"1107","DN958104"
"1108","DN796813"
"1109","CX542808"
"1110","DN623308"
"1111","CO913045"
"1112","CN182779"
"1113","CX663771"
"1114","CX297459"
"1115","CV705033"
"1116","CK936491"
"1117","CX666732"
"1118","CX052900"
"1119","DN959571"
"1120","CF832583"
"1121","CV718205"
"1122","CF508469"
"1123","CN183041"
"1124","CD575705"
"1125","CB250269"
"1126","CV711744"
"1127","CF506856"
"1128","CX668728"
"1129","CX288631"
"1130","CX071844"
"1131","DN959094"
"1132","CD576607"
"1133","CF418789"
"1134","DN624084"
"1135","DN620225"
"1136","CN188058"
"1137","DN621708"
"1138","DN797136"
"1139","CF417916"
"1140","CX306699"
"1141","CN188411"
"1142","CV715879"
"1143","CN188208"
"1144","CV709925"
"1145","CX672381"
"1146","CK937077"
"1147","CX543936"
"1148","CX675649"
"1149","CV718223"
"1150","CK936477"
"1151","CX545961"
"1152","CX668000"
"1153","CF653632"
"1154","CN181653"
"1155","DN798735"
"1156","DN795359"
"1157","CV887139"
"1158","CV886406"
"1159","CF834198"
"1160","CX663700"
"1161","CX675335"
"1162","CX053309"
"1163","CF836337"
"1164","CX046015"
"1165","CV714737"
"1166","DN620570"
"1167","CV718223"
"1168","CD575502"
"1169","DT214669"
"1170","CX663477"
"1171","CV719901"
"1172","CX297582"
"1173","CF504393"
"1174","CX050229"
